date,close
2020-01-01,7174.33
2020-01-02,6945.02
2020-01-03,7334.45
2020-01-04,7348.63
2020-01-05,7355.4
2020-01-06,7764.63
2020-01-07,8158.52
2020-01-08,8045.51
2020-01-09,7813.78
2020-01-10,8198.09
2020-01-11,8020
2020-01-12,8180.81
2020-01-13,8104.5
2020-01-14,8815.69
2020-01-15,8808.81
2020-01-16,8714.76
2020-01-17,8899.42
2020-01-18,8909.32
2020-01-19,8697.53
2020-01-20,8628.89
2020-01-21,8722.03
2020-01-22,8660.38
2020-01-23,8385.22
2020-01-24,8427.26
2020-01-25,8326.81
2020-01-26,8595
2020-01-27,8895.96
2020-01-28,9394.5
2020-01-29,9288.44
2020-01-30,9503.08
2020-01-31,9334.98
2020-02-01,9380.18
2020-02-02,9323.5
2020-02-03,9280.49
2020-02-04,9164.33
2020-02-05,9613.82
2020-02-06,9763.01
2020-02-07,9808.05
2020-02-08,9905.64
2020-02-09,10168.35
2020-02-10,9851.78
2020-02-11,10270.01
2020-02-12,10351.13
2020-02-13,10236.49
2020-02-14,10371.33
2020-02-15,9911.22
2020-02-16,9921
2020-02-17,9700
2020-02-18,10188.04
2020-02-19,9600.08
2020-02-20,9610.05
2020-02-21,9695.66
2020-02-22,9668.23
2020-02-23,9965.01
2020-02-24,9660
2020-02-25,9305
2020-02-26,8778.3
2020-02-27,8812.49
2020-02-28,8708.89
2020-02-29,8525.07
2020-03-01,8522.31
2020-03-02,8915
2020-03-03,8757.84
2020-03-04,8760.66
2020-03-05,9070.17
2020-03-06,9158.51
2020-03-07,8901.37
2020-03-08,8037.76
2020-03-09,7934.52
2020-03-10,7894.68
2020-03-11,7938.05
2020-03-12,4857.1
2020-03-13,5637.6
2020-03-14,5165.25
2020-03-15,5345.35
2020-03-16,5037.61
2020-03-17,5331.71
2020-03-18,5413.64
2020-03-19,6186.26
2020-03-20,6206.1
2020-03-21,6198.78
2020-03-22,5818.25
2020-03-23,6490.63
2020-03-24,6766.64
2020-03-25,6690.96
2020-03-26,6758.18
2020-03-27,6372.36
2020-03-28,6251.82
2020-03-29,5877.21
2020-03-30,6406.4
2020-03-31,6424.35
2020-04-01,6666.11
2020-04-02,6804.52
2020-04-03,6741.99
2020-04-04,6874.77
2020-04-05,6778.25
2020-04-06,7341.56
2020-04-07,7200.01
2020-04-08,7370.11
2020-04-09,7293.24
2020-04-10,6871.91
2020-04-11,6889.65
2020-04-12,6908.13
2020-04-13,6861.21
2020-04-14,6877.37
2020-04-15,6624.12
2020-04-16,7112.64
2020-04-17,7037.46
2020-04-18,7261.76
2020-04-19,7130.71
2020-04-20,6838.19
2020-04-21,6853.68
2020-04-22,7136.84
2020-04-23,7488.83
2020-04-24,7514.64
2020-04-25,7547.61
2020-04-26,7706.4
2020-04-27,7789.77
2020-04-28,7755.01
2020-04-29,8793.75
2020-04-30,8624.28
2020-05-01,8829.42
2020-05-02,8985.58
2020-05-03,8909.95
2020-05-04,8883.53
2020-05-05,9028.79
2020-05-06,9155.79
2020-05-07,10004.77
2020-05-08,9810
2020-05-09,9537.21
2020-05-10,8729.86
2020-05-11,8572.4
2020-05-12,8821.42
2020-05-13,9321.26
2020-05-14,9795.34
2020-05-15,9312.1
2020-05-16,9383.16
2020-05-17,9676.63
2020-05-18,9728.52
2020-05-19,9783.76
2020-05-20,9509.41
2020-05-21,9061.96
2020-05-22,9168.84
2020-05-23,9181.76
2020-05-24,8715.73
2020-05-25,8899.31
2020-05-26,8844.42
2020-05-27,9208.53
2020-05-28,9580.19
2020-05-29,9423.84
2020-05-30,9700.33
2020-05-31,9446.57
2020-06-01,10208.96
2020-06-02,9522.46
2020-06-03,9668.07
2020-06-04,9788.03
2020-06-05,9613.21
2020-06-06,9671.7
2020-06-07,9750.12
2020-06-08,9781.51
2020-06-09,9779.41
2020-06-10,9894.04
2020-06-11,9268.16
2020-06-12,9464.17
2020-06-13,9475
2020-06-14,9325
2020-06-15,9432.53
2020-06-16,9526.25
2020-06-17,9457.51
2020-06-18,9376.14
2020-06-19,9301.91
2020-06-20,9355.74
2020-06-21,9286.14
2020-06-22,9690.74
2020-06-23,9623.56
2020-06-24,9285.91
2020-06-25,9243.51
2020-06-26,9155.42
2020-06-27,9002.46
2020-06-28,9113.24
2020-06-29,9184.45
2020-06-30,9136.2
2020-07-01,9239.97
2020-07-02,9091.53
2020-07-03,9063.87
2020-07-04,9138.51
2020-07-05,9074.39
2020-07-06,9343.31
2020-07-07,9253.94
2020-07-08,9435.28
2020-07-09,9236.95
2020-07-10,9291.05
2020-07-11,9235
2020-07-12,9303.37
2020-07-13,9236.92
2020-07-14,9256.94
2020-07-15,9190.16
2020-07-16,9130.11
2020-07-17,9154.29
2020-07-18,9175.85
2020-07-19,9212.87
2020-07-20,9161.05
2020-07-21,9394.14
2020-07-22,9536.18
2020-07-23,9613.24
2020-07-24,9551.21
2020-07-25,9711.33
2020-07-26,9941
2020-07-27,11048.91
2020-07-28,10934.23
2020-07-29,11110.12
2020-07-30,11115.95
2020-07-31,11351.62
2020-08-01,11810.07
2020-08-02,11068.54
2020-08-03,11233.13
2020-08-04,11197.04
2020-08-05,11756.75
2020-08-06,11773.89
2020-08-07,11606.52
2020-08-08,11774.98
2020-08-09,11688.48
2020-08-10,11899.73
2020-08-11,11388.53
2020-08-12,11566.45
2020-08-13,11795.95
2020-08-14,11779
2020-08-15,11859.24
2020-08-16,11918.84
2020-08-17,12304.26
2020-08-18,11950
2020-08-19,11758.87
2020-08-20,11864.26
2020-08-21,11529.22
2020-08-22,11672.93
2020-08-23,11650.01
2020-08-24,11753.85
2020-08-25,11324.92
2020-08-26,11463.27
2020-08-27,11330.06
2020-08-28,11535
2020-08-29,11474.31
2020-08-30,11716.01
2020-08-31,11655
2020-09-01,11924.22
2020-09-02,11395.48
2020-09-03,10172.52
2020-09-04,10500.05
2020-09-05,10168.36
2020-09-06,10257.86
2020-09-07,10375
2020-09-08,10125.69
2020-09-09,10224.56
2020-09-10,10343.23
2020-09-11,10394.41
2020-09-12,10446.52
2020-09-13,10336.76
2020-09-14,10679.95
2020-09-15,10783.75
2020-09-16,10959.61
2020-09-17,10943.61
2020-09-18,10937.52
2020-09-19,11080
2020-09-20,10920.89
2020-09-21,10416.82
2020-09-22,10531.13
2020-09-23,10235.1
2020-09-24,10740.01
2020-09-25,10690.53
2020-09-26,10730
2020-09-27,10778.2
2020-09-28,10695.55
2020-09-29,10840.73
2020-09-30,10779.63
2020-10-01,10617.63
2020-10-02,10573.12
2020-10-03,10551.65
2020-10-04,10671.11
2020-10-05,10795
2020-10-06,10602.66
2020-10-07,10670.47
2020-10-08,10933.09
2020-10-09,11057.07
2020-10-10,11299.5
2020-10-11,11374.01
2020-10-12,11535.46
2020-10-13,11428.22
2020-10-14,11427.7
2020-10-15,11509.34
2020-10-16,11328.95
2020-10-17,11367.89
2020-10-18,11514.2
2020-10-19,11760.45
2020-10-20,11923.83
2020-10-21,12808
2020-10-22,12987.02
2020-10-23,12937.09
2020-10-24,13126.24
2020-10-25,13045
2020-10-26,13068.79
2020-10-27,13698.18
2020-10-28,13281.05
2020-10-29,13460
2020-10-30,13571.51
2020-10-31,13804.81
2020-11-01,13771.59
2020-11-02,13563.22
2020-11-03,14035.8
2020-11-04,14161.48
2020-11-05,15608.21
2020-11-06,15599.95
2020-11-07,14834.09
2020-11-08,15482.9
2020-11-09,15342.25
2020-11-10,15315.03
2020-11-11,15705.79
2020-11-12,16310.81
2020-11-13,16339.56
2020-11-14,16082.01
2020-11-15,15966.89
2020-11-16,16726.64
2020-11-17,17679.36
2020-11-18,17782.91
2020-11-19,17821.58
2020-11-20,18675.25
2020-11-21,18721.21
2020-11-22,18437.66
2020-11-23,18384.82
2020-11-24,19172.84
2020-11-25,18721.93
2020-11-26,17170
2020-11-27,17153.95
2020-11-28,17739.85
2020-11-29,18202.04
2020-11-30,19713.94
2020-12-01,18782.97
2020-12-02,19225.63
2020-12-03,19448.64
2020-12-04,18658.1
2020-12-05,19158.96
2020-12-06,19375.6
2020-12-07,19177.71
2020-12-08,18316.22
2020-12-09,18546.55
2020-12-10,18253.44
2020-12-11,18042.15
2020-12-12,18821.28
2020-12-13,19166.65
2020-12-14,19272.37
2020-12-15,19444.6
2020-12-16,21359.65
2020-12-17,22826.48
2020-12-18,23137.76
2020-12-19,23849.99
2020-12-20,23476.51
2020-12-21,22729.4
2020-12-22,23823.27
2020-12-23,23228.35
2020-12-24,23717.96
2020-12-25,24704.71
2020-12-26,26475.35
2020-12-27,26258.65
2020-12-28,27040.36
2020-12-29,27366.35
2020-12-30,28897.42
2020-12-31,28990.08
2021-01-01,29412.84
2021-01-02,32225.91
2021-01-03,33080.66
2021-01-04,32019.99
2021-01-05,34030.64
2021-01-06,36859.26
2021-01-07,39505.56
2021-01-08,40665.15
2021-01-09,40257.43
2021-01-10,38171.57
2021-01-11,35452.59
2021-01-12,34038.98
2021-01-13,37393.66
2021-01-14,39125.14
2021-01-15,36754.67
2021-01-16,36006.94
2021-01-17,35820
2021-01-18,36624.23
2021-01-19,35917.28
2021-01-20,35503.09
2021-01-21,30855.95
2021-01-22,32984.93
2021-01-23,32112.01
2021-01-24,32288.56
2021-01-25,32261.87
2021-01-26,32510.82
2021-01-27,30407.13
2021-01-28,33488.99
2021-01-29,34262.11
2021-01-30,34315.63
2021-01-31,33137.74
2021-02-01,33533.19
2021-02-02,35512.67
2021-02-03,37678.37
2021-02-04,36975
2021-02-05,38311.49
2021-02-06,39265.43
2021-02-07,38871.42
2021-02-08,46448.1
2021-02-09,46514.73
2021-02-10,44850
2021-02-11,47997.91
2021-02-12,47408.34
2021-02-13,47232.45
2021-02-14,48680.69
2021-02-15,47936.37
2021-02-16,49158.71
2021-02-17,52170.01
2021-02-18,51601.73
2021-02-19,55983.56
2021-02-20,55923.52
2021-02-21,57489.16
2021-02-22,54142.13
2021-02-23,48899.99
2021-02-24,49737.82
2021-02-25,47058.48
2021-02-26,46326.2
2021-02-27,46180.75
2021-02-28,45231.75
2021-03-01,49639.4
2021-03-02,48511.6
2021-03-03,50360
2021-03-04,48368.52
2021-03-05,48769.47
2021-03-06,48909.84
2021-03-07,50978.61
2021-03-08,52415.23
2021-03-09,54916.38
2021-03-10,55890.69
2021-03-11,57815.47
2021-03-12,57225.91
2021-03-13,61178.5
2021-03-14,58972.7
2021-03-15,55636.15
2021-03-16,56927.11
2021-03-17,58925.54
2021-03-18,57644.95
2021-03-19,58039.66
2021-03-20,58116.7
2021-03-21,57363.32
2021-03-22,54110.07
2021-03-23,54345.54
2021-03-24,52276.16
2021-03-25,51325.01
2021-03-26,55072.44
2021-03-27,55856.53
2021-03-28,55778.82
2021-03-29,57613.48
2021-03-30,58786.46
2021-03-31,58800
2021-04-01,58726.48
2021-04-02,58981.04
2021-04-03,57094.34
2021-04-04,58215.94
2021-04-05,59123.02
2021-04-06,58019.98
2021-04-07,55955.75
2021-04-08,58083.1
2021-04-09,58092.68
2021-04-10,59778.6
2021-04-11,59985.26
2021-04-12,59839.82
2021-04-13,63588.22
2021-04-14,62971.8
2021-04-15,63229.04
2021-04-16,61427.27
2021-04-17,60058.86
2021-04-18,56274.41
2021-04-19,55696.83
2021-04-20,56499.29
2021-04-21,53800.86
2021-04-22,51701.59
2021-04-23,51187.27
2021-04-24,50089.15
2021-04-25,49121
2021-04-26,54053.6
2021-04-27,55069.62
2021-04-28,54894.03
2021-04-29,53580
2021-04-30,57798.77
2021-05-01,57859.28
2021-05-02,56625.2
2021-05-03,57212.73
2021-05-04,53241.92
2021-05-05,57515.69
2021-05-06,56440.66
2021-05-07,57380.39
2021-05-08,58958.05
2021-05-09,58312.57
2021-05-10,55866.41
2021-05-11,56753.19
2021-05-12,49498.77
2021-05-13,49690.11
2021-05-14,49893.48
2021-05-15,46775.51
2021-05-16,46450.79
2021-05-17,43580.5
2021-05-18,42857.15
2021-05-19,36731.75
2021-05-20,40623.33
