symbol,session,side,signal_type,signal_time,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,quantity,pnl,r_multiple,exit_reason,atr_fraction,status,leverage,margin,liquidation_price,notional,fees,gross_pnl,atr,initial_stop,trail_extreme,breakeven_done
GLD,2026-07-31,long,john_wick,2026-07-31T10:05:00-04:00,2026-07-31T10:10:00-04:00,2026-07-31T10:49:00-04:00,369.658917,370.83081899999996,366.98325215549556,370.905,0.747477773274867,0.8759706974563547,0.43798534872817735,target,0.28553013786689346,closed,4.0,69.07795603758971,277.24418775,276.31182415035886,0.0,0.8759706974563547,6.689311378017683,366.98325215549556,371.12,False
SPY,2026-08-03,short,power_tower,2026-08-03T09:40:00-04:00,2026-08-03T09:40:00-04:00,2026-08-03T10:12:00-04:00,751.184733,754.114593973616,753.9638012133734,749.21,0.5324921852478596,-1.5601280723131912,-1.054260186747856,stop,0.4062137298008267,closed,4.0,99.99999999999999,938.9809162500001,399.99999999999994,0.0,-1.5601280723131912,6.671364853493949,753.9638012133734,751.035,False
TSLA,2026-08-03,short,power_tower,2026-08-03T10:00:00-04:00,2026-08-03T10:00:00-04:00,2026-08-03T11:00:00-04:00,318.39130900000004,322.38267513929856,322.31821149699914,310.49,0.5093072724694279,-2.03283180183296,-1.0164159009164802,stop,0.6960920757443856,closed,4.0,40.539752291190204,397.98913625000006,162.15900916476082,0.0,-2.03283180183296,11.23414598799657,322.31821149699914,316.97,False
AAPL,2026-08-03,long,power_tower,2026-08-03T09:40:00-04:00,2026-08-03T09:40:00-04:00,2026-08-03T15:45:00+00:00,307.466481,303.04133324456853,303.10195363529556,311.77,0.45823976638887276,-2.027778673685154,-1.013889336842577,stop,0.8115521687387237,closed,4.0,35.2233421064622,230.59986075,140.8933684258488,0.0,-2.027778673685154,8.021665458817672,303.10195363529556,308.435,False
SPY,2026-08-04,short,power_tower,2026-08-04T09:55:00-04:00,2026-08-04T09:55:00-04:00,2026-08-04T10:44:00-04:00,762.7924109999999,765.9326500078118,765.7794941089901,760.53,0.5243890660574494,-1.646707000503676,-1.0512727276856808,stop,0.2165727024984645,closed,4.0,100.00000000000001,953.4905137499999,400.00000000000006,0.0,-1.646707000503676,7.711036435960405,765.7794941089901,762.685,False
QQQ,2026-08-04,short,power_tower,2026-08-04T10:30:00-04:00,2026-08-04T10:30:00-04:00,2026-08-04T16:00:00+00:00,715.331905,719.33,719.7673385299992,707.64,0.4509142086050784,-1.8027978428529368,-0.9013989214264684,session_close,0.45493657961297745,closed,4.0,80.63832995825953,894.16488125,322.55331983303813,0.0,-1.8027978428529368,12.836954119996731,719.7673385299992,715.135,False
QQQ,2026-08-05,short,john_wick,2026-08-05T10:05:00-04:00,2026-08-05T10:20:00-04:00,2026-08-05T10:23:00-04:00,725.709829,724.884948,731.317987094708,724.74,0.3566233273429408,0.2941718068819741,0.14708590344098704,target,0.24218309559466353,closed,4.0,64.70126347586414,907.13728625,258.80505390345655,0.0,0.2941718068819741,13.977028378831982,731.317987094708,724.55,False
NVDA,2026-08-05,short,power_tower,2026-08-05T10:00:00-04:00,2026-08-05T10:00:00-04:00,2026-08-05T16:00:00+00:00,220.365918,219.335,223.31682106698784,216.42,0.6777586232412275,0.69871356435459,0.34935678217729504,session_close,0.9314481547954093,closed,4.0,37.33872529824231,275.4573975,149.35490119296924,0.0,0.69871356435459,5.743744267951381,223.31682106698784,218.35,False
GLD,2026-08-06,short,power_tower,2026-08-06T09:45:00-04:00,2026-08-06T09:45:00-04:00,2026-08-06T15:52:00+00:00,391.2492345,389.562897,393.5105225093842,389.485,0.8844516893470121,1.4914840506841986,0.7457420253420993,target,0.4810923051845848,closed,4.0,86.51026160231258,489.061543125,346.0410464092503,0.0,1.4914840506841986,5.238080037536896,393.5105225093842,389.39,False
QQQ,2026-08-06,short,power_tower,2026-08-06T09:50:00-04:00,2026-08-06T09:50:00-04:00,2026-08-06T16:00:00+00:00,714.497072,714.94,719.6782528108714,708.59,0.3860123923495395,-0.1709756969186168,-0.0854878484593084,session_close,0.408312855021265,closed,4.0,68.95118102236529,893.12134,275.80472408946116,0.0,-0.1709756969186168,13.421081243485755,719.6782528108714,714.497072,False
